bip-bitcoin-improvement-proposal	bip-9-versionbits,bip-16-p2sh,bip-22-getblocktemplate,bip-65-opchecklocktimeverify,bip-68-relative-locktime,segwit-segregated-witness-bip-141,bip-173-bech32,bip-174-psbt,bip-341-taproot,bip-342-tapscript,bolt-11
segwit-segregated-witness-bip-141	bech32m,bip-bitcoin-improvement-proposal,bip-9-versionbits,bip-16-p2sh,bip-91,bip-144-segwit-relay,bip-148-uasf,bip-341-taproot,bip-342-tapscript,native-segwit,p2wpkh-pay-witness-public-key-hash,p2wsh-pay-witness-script-hash,taproot
utxo-unspent-transaction-output	absolute-fee,coin-age,coin-control,coin-plasma,coinbase-transaction,consolidation-transaction,gadget-utxo,gadget-utxo,mutxo,p2wpkh-pay-witness-public-key-hash,p2wsh-pay-witness-script-hash,p2pkh-pay-public-key-hash,p2pk-pay-public-key,transaction,transaction-index-txindex,vanity-address
absolute-fee	
absolute-locktime	bip-65-opchecklocktimeverify,bip-68-relative-locktime,checklocktimeverify-cltv,checksequenceverify-csv,locktime,nlocktime,nsequence,time-locked-contract
accelerator	fee-bumping,fee-estimation,fee-rate-escalation,fee-sniping,replace-fee-rbf,transaction,transaction-fee
adapter-signature	bitcoin-script,ecdsa-elliptic-curve-digital-signature-algorithm,merkleized-abstract-syntax-tree-mast,scriptless-scripts,schnorr-signature,signature-aggregation,signature-clipping
adaptive-block-filter	bip-158,bloom-filter,merkle-block,merkle-inclusion-proof,merged-mining,merkle-proof,merkle-root
address	b32-address,bech32m,bip-173-bech32,bitcoin-script,p2pk-pay-public-key,p2pkh-pay-public-key-hash,p2sh-pay-script-hash,p2wpkh-pay-witness-public-key-hash,p2wsh-pay-witness-script-hash,price-discovery,silent-payments,stealth-address,vanity-address
address-clustering	address,address-indexing,address-reuse,chain-analysis,coin-control,coinjoin,fungibility
address-derivation-path	address,address-indexing,chaincode,hd-wallet-hierarchical-deterministic-wallet,hierarchical-deterministic-wallet,seed-entropy-mixer,seed-phrase,seed-tool
address-indexing	address,address-clustering,address-derivation-path,address-reuse,transaction-index-txindex
address-reuse	address,address-clustering,address-indexing,chain-analysis,dust,dust-attack,fungibility,security
air-gapped	hardware-seed-vault,hardware-security-module-hsm,hardware-wallet,paper-wallet,security
airdrop-btc-fork	bitcoin-cash,fork,fork-detection,fork-watcher
alt-season	altcoin,bitcoin-dominance,bull-market,fork,market-capitalization
altcoin	alt-season,bitcoin-cash,bitcoin-dominance,fork,namecoin
aml-anti-money-laundering	bitlicense,fincen,kyc-know-your-customer
anti-sybil-mechanism	byzantine-fault-tolerance,decentralization,proof-work-pow
anyprevout	eltoo,payment-channel,sighash,sighashanyonecanpay,sighashsingle
api-application-programming-interface	bitcoin-core-rpc,exchange-api-key,rpc-whitelist
asic-application-specific-integrated-circuit	asic-resistance,asicboost,cpu-mining,hash-rate,miner,mining-algorithm,mining-rig,mining-software
asic-resistance	asic-application-specific-integrated-circuit,asicboost,cpu-mining,mining-algorithm,mining-centralization
asicboost	asic-application-specific-integrated-circuit,asic-resistance,mining-algorithm,mining-software
asmap	node,node-autoban,node-headcount,node-operator,node-synchronization
asylo	
atomic-multi-path-payment-amp	atomic-swap,atomic-swap-refill,audiobook-model-lightning,autopilot-lightning,core-lightning-c-lightning,lightning-anchor-commitment,lightning-channel-capacity,lightning-network,lightning-node,lightning-payment,lightning-routing
atomic-swap	atomic-multi-path-payment-amp,atomic-swap-refill,htlc-hashed-time-locked-contract,payjoin,submarine-swap
atomic-swap-refill	atomic-multi-path-payment-amp,atomic-swap,htlc-hashed-time-locked-contract,submarine-swap
audiobook-model-lightning	atomic-multi-path-payment-amp,autopilot-lightning,core-lightning-c-lightning,lightning-network,lightning-network-daemon-lnd,lightning-payment,lightning-routing
auto-unwrap-sidechains	liquid-network,one-way-peg,peg-guard,peg,peg-out,sidechain
autopilot-lightning	atomic-multi-path-payment-amp,audiobook-model-lightning,core-lightning-c-lightning,gossip-protocol-lightning,lightning-channel,lightning-channel-capacity,lightning-network,lightning-node,lightning-node-alias,lightning-routing
axolotl-ratchet	onion-routing-lightning,security
b32-address	address,bech32m,bip-173-bech32,p2pk-pay-public-key,p2pkh-pay-public-key-hash,p2sh-pay-script-hash,p2wpkh-pay-witness-public-key-hash,p2wsh-pay-witness-script-hash,silent-payments,stealth-address,vanity-address
balanced-channel-lightning	lightning-channel,lightning-channel-capacity,lightning-network,lightning-node,lightning-routing,liquidity,liquidity-ads,lockup-period-lightning,locked-period-soft-fork
batch-transaction	batching-optimizer,consolidation-transaction,incremental-batching,transaction,transaction-chaining,transaction-fee
batching-optimizer	batch-transaction,consolidation-transaction,incremental-batching,transaction,transaction-chaining,transaction-fee
bear-market	bull-market,market-capitalization,market-depth,merchant-adoption,price-discovery,price-floor-btc,price-slippage
bech32m	address,b32-address,segwit-segregated-witness-bip-141,bip-173-bech32,native-segwit,p2wpkh-pay-witness-public-key-hash,p2wsh-pay-witness-script-hash
bip-102-2mb-block-size	bip-bitcoin-improvement-proposal,bitcoin-core,block,block-size,fork,soft-fork
bip-113	bip-bitcoin-improvement-proposal,bip-65-opchecklocktimeverify,bip-68-relative-locktime,bitcoin-script,checklocktimeverify-cltv,checksequenceverify-csv,locktime,mtp-median-time-past,time-locked-contract
bip-119-ctv	bip-bitcoin-improvement-proposal,bip-9-versionbits,bitcoin-script,checklocktimeverify-cltv,checksequenceverify-csv,checktemplateverify-ctv,covenants,deployment-threshold-soft-fork,locked-period-soft-fork,soft-fork
bip-125-replace-fee	absolute-fee,accelerator,bip-bitcoin-improvement-proposal,bip-9-versionbits,fee-bumping,fee-estimation,fee-floor,fee-rate-escalation,fee-sniping,replace-fee-rbf,transaction,transaction-fee
bip-144-segwit-relay	bip-bitcoin-improvement-proposal,bip-9-versionbits,bip-91,segwit-segregated-witness-bip-141,bip-148-uasf,bip-341-taproot,bip-342-tapscript,native-segwit,p2wpkh-pay-witness-public-key-hash,p2wsh-pay-witness-script-hash,taproot
bip-148-uasf	bip-bitcoin-improvement-proposal,bip-9-versionbits,bip-91,segwit-segregated-witness-bip-141,bip-144-segwit-relay,bitcoin-core,deployment-threshold-soft-fork,locked-period-soft-fork,soft-fork
bip-152-compact-blocks	bip-bitcoin-improvement-proposal,bitcoin-core,block,block-header,block-height,block-propagation,block-time,blockchain
bip-155-addr-v2	address,bip-bitcoin-improvement-proposal,bitcoin-core,node,peer-bookmark,peer-discovery,peer-management
bip-158	adaptive-block-filter,bip-bitcoin-improvement-proposal,bip-37,bitcoin-core,bloom-filter,merkle-block,merkle-proof,merkle-root,spv-simplified-payment-verification
bip-159	bip-bitcoin-improvement-proposal,bitcoin-core,deployment-threshold-soft-fork,locked-period-soft-fork,node,node-autoban,node-synchronization,soft-fork
bip-16-p2sh	bip-bitcoin-improvement-proposal,segwit-segregated-witness-bip-141,bip-173-bech32,bip-341-taproot,bip-342-tapscript,bitcoin-script,p2sh-pay-script-hash,script
bip-170-txout-proof	bip-bitcoin-improvement-proposal,bitcoin-core,merkle-block,merkle-inclusion-proof,merkle-proof,transaction,transaction-index-txindex,utxo-unspent-transaction-output
bip-173-bech32	address,b32-address,bech32m,bip-bitcoin-improvement-proposal,bip-16-p2sh,segwit-segregated-witness-bip-141,native-segwit,p2wpkh-pay-witness-public-key-hash,p2wsh-pay-witness-script-hash
bip-174-psbt	bip-bitcoin-improvement-proposal,bitcoin-core,hierarchical-multisig,mono-signature,partial-signature,partially-signed-bitcoin-transaction-psbt,psbt,transaction
bip-176-bits-denomination	bip-bitcoin-improvement-proposal,bitcoin-core,satoshi-unit
bip-22-getblocktemplate	bip-bitcoin-improvement-proposal,bitcoin-core,bitcoin-core-rpc,block,block-header,mining-centralization,mining-rig,mining-software
bip-30	bip-bitcoin-improvement-proposal,bip-34,block,block-explorer,block-height,double-spend,transaction
bip-300-drivechains	bip-bitcoin-improvement-proposal,bip-301,liquid-network,one-way-peg,peg,peg-out,sidechain
bip-301	bip-bitcoin-improvement-proposal,bip-300-drivechains,liquid-network,one-way-peg,peg,peg-out,sidechain
bip-31-pong-message	bip-bitcoin-improvement-proposal,bitcoin-core,bitcoin-core-rpc,node,node-autoban,node-headcount,node-operator,node-synchronization
bip-34	bip-bitcoin-improvement-proposal,bip-30,block,block-explorer,block-height,double-spend,transaction
bip-341-taproot	bip-bitcoin-improvement-proposal,bip-16-p2sh,segwit-segregated-witness-bip-141,bip-144-segwit-relay,bip-342-tapscript,merkleized-abstract-syntax-tree-mast,musig,schnorr-signature,signature-aggregation,taproot
